group,test_prep,study_hours,math_score,reading_score,writing_score
Group B,completed,3.9,58,64,51
Group A,none,7.7,67,85,61
Group A,none,9.3,83,65,73
Group A,none,3.9,60,67,48
Group A,none,8.3,68,63,47
Group B,none,8.6,67,77,60
Group B,none,4.4,66,49,54
Group A,completed,5.6,73,74,61
Group B,completed,4.1,70,67,64
Group B,none,5.3,58,65,58
Group A,completed,6.5,47,56,67
Group A,none,9.3,64,64,57
Group B,none,5.1,61,73,55
Group A,completed,3.0,54,48,65
Group B,none,0.5,58,49,43
Group B,completed,5.1,59,69,54
Group B,none,3.6,36,76,56
Group A,none,7.0,74,75,82
Group B,completed,7.1,70,81,87
Group A,none,3.0,57,53,34
Group A,completed,7.4,55,71,63
Group A,none,6.1,60,56,59
Group A,none,6.0,62,59,59
Group B,none,5.4,62,62,59
Group A,none,8.8,78,60,59
Group A,none,8.0,61,77,61
Group A,none,7.0,63,64,51
Group B,none,9.2,87,64,50
Group B,completed,6.7,70,60,56
Group B,completed,6.9,86,80,67
Group B,none,7.8,49,71,69
Group B,completed,6.0,68,64,86
Group A,none,3.8,71,48,51
Group B,completed,10.7,87,82,81
Group B,completed,8.8,91,70,69
Group A,none,3.6,54,67,53
Group B,none,4.3,61,59,64
Group B,completed,4.1,42,76,61
Group A,none,3.1,43,57,49
Group A,none,7.4,71,79,56
Group A,none,10.1,65,76,58
Group B,none,7.5,75,53,53
Group A,none,10.2,69,67,71
Group B,none,5.6,68,76,61
Group A,none,7.2,57,67,52
Group A,none,4.5,49,55,44
Group A,none,6.6,75,64,70
Group A,completed,9.1,82,82,68
Group A,none,8.2,68,69,62
Group A,completed,8.9,84,70,68
Group A,none,5.7,71,46,58
Group A,completed,8.7,87,86,61
Group A,none,9.9,68,61,77
Group A,none,7.9,60,75,73
Group B,completed,3.4,64,48,63
Group A,none,7.2,69,59,39
Group B,completed,7.2,59,61,68
Group B,completed,5.1,45,73,64
Group A,completed,4.2,70,59,68
Group B,none,4.7,73,65,63
Group A,none,9.2,71,83,76
Group B,none,6.9,62,65,60
Group B,none,10.4,74,62,46
Group A,completed,2.5,64,58,76
Group A,completed,7.6,63,60,85
Group A,none,10.3,75,77,72
Group A,none,10.8,85,77,53
