gene,condition,replicate,log2_expression
TP53,Control,1,6.29
TP53,Control,2,6.33
TP53,Control,3,6.02
TP53,Control,4,6.0
TP53,Control,5,6.09
TP53,Control,6,6.1
TP53,Treatment,1,7.59
TP53,Treatment,2,7.84
TP53,Treatment,3,7.6
TP53,Treatment,4,7.47
TP53,Treatment,5,8.5
TP53,Treatment,6,7.64
BRCA1,Control,1,5.62
BRCA1,Control,2,5.97
BRCA1,Control,3,6.81
BRCA1,Control,4,6.33
BRCA1,Control,5,6.48
BRCA1,Control,6,6.74
BRCA1,Treatment,1,6.51
BRCA1,Treatment,2,8.1
BRCA1,Treatment,3,7.08
BRCA1,Treatment,4,7.58
BRCA1,Treatment,5,7.76
BRCA1,Treatment,6,7.03
EGFR,Control,1,7.38
EGFR,Control,2,7.04
EGFR,Control,3,6.54
EGFR,Control,4,7.05
EGFR,Control,5,6.79
EGFR,Control,6,7.11
EGFR,Treatment,1,8.44
EGFR,Treatment,2,8.23
EGFR,Treatment,3,8.42
EGFR,Treatment,4,8.71
EGFR,Treatment,5,8.39
EGFR,Treatment,6,8.53
MYC,Control,1,6.88
MYC,Control,2,7.41
MYC,Control,3,7.15
MYC,Control,4,7.64
MYC,Control,5,7.47
MYC,Control,6,7.6
MYC,Treatment,1,9.69
MYC,Treatment,2,9.49
MYC,Treatment,3,9.64
MYC,Treatment,4,9.48
MYC,Treatment,5,9.65
MYC,Treatment,6,9.78
PTEN,Control,1,7.96
PTEN,Control,2,7.83
PTEN,Control,3,7.65
PTEN,Control,4,8.0
PTEN,Control,5,8.19
PTEN,Control,6,8.01
PTEN,Treatment,1,7.01
PTEN,Treatment,2,7.61
PTEN,Treatment,3,6.54
PTEN,Treatment,4,6.93
PTEN,Treatment,5,6.75
PTEN,Treatment,6,6.68
KRAS,Control,1,8.45
KRAS,Control,2,8.11
KRAS,Control,3,8.33
KRAS,Control,4,7.88
KRAS,Control,5,7.66
KRAS,Control,6,8.49
KRAS,Treatment,1,8.73
KRAS,Treatment,2,9.33
KRAS,Treatment,3,9.26
KRAS,Treatment,4,9.11
KRAS,Treatment,5,8.85
KRAS,Treatment,6,8.93
