cell_type,cell_id,CD3D,MS4A1,LYZ,MKI67
T cell,1,8.1,1.94,3.14,3.87
T cell,2,8.02,2.38,3.02,4.22
T cell,3,6.7,3.64,2.42,3.0
T cell,4,7.43,1.86,2.62,3.54
T cell,5,8.09,2.68,2.67,3.82
T cell,6,7.0,2.72,2.99,3.77
T cell,7,8.66,0.74,2.7,3.02
T cell,8,7.14,0.94,3.48,3.99
T cell,9,8.25,2.51,2.49,3.28
T cell,10,7.82,0.07,3.38,4.04
T cell,11,7.61,2.37,4.63,2.42
T cell,12,7.21,2.35,2.8,3.49
T cell,13,7.96,3.25,2.7,2.73
T cell,14,8.79,2.74,2.22,3.84
T cell,15,8.2,2.7,2.16,2.75
T cell,16,7.59,3.41,1.17,3.77
T cell,17,8.35,3.7,2.59,2.62
T cell,18,6.93,2.15,3.46,2.25
T cell,19,8.33,2.51,3.67,3.42
T cell,20,8.0,2.01,2.38,3.18
T cell,21,7.18,3.25,2.55,3.06
T cell,22,7.74,3.68,3.63,4.66
T cell,23,7.82,2.44,3.46,3.23
T cell,24,8.95,2.65,2.23,2.68
T cell,25,6.52,1.7,2.93,2.61
T cell,26,7.01,1.92,2.9,2.84
T cell,27,7.67,3.0,2.54,2.43
T cell,28,8.68,2.96,4.08,3.06
T cell,29,7.91,2.59,3.13,3.59
T cell,30,7.81,4.24,3.57,2.98
T cell,31,6.93,2.51,2.81,2.27
T cell,32,9.06,3.51,3.2,3.23
T cell,33,9.33,1.26,1.64,2.34
T cell,34,6.89,1.68,1.9,2.67
T cell,35,7.28,1.09,2.94,3.66
T cell,36,7.74,2.63,3.16,3.89
T cell,37,7.56,2.15,1.84,2.62
T cell,38,9.53,2.89,2.58,3.95
T cell,39,7.21,2.19,4.7,2.53
T cell,40,7.75,2.36,2.73,2.46
B cell,1,3.42,7.43,2.78,3.24
B cell,2,1.92,8.07,0.94,2.95
B cell,3,1.15,7.75,2.14,4.05
B cell,4,2.36,8.62,3.24,3.04
B cell,5,2.18,8.08,1.86,4.0
B cell,6,1.61,8.86,1.5,2.92
B cell,7,2.17,8.0,2.56,1.53
B cell,8,3.49,8.92,1.36,2.9
B cell,9,2.58,8.68,2.16,1.96
B cell,10,3.04,8.26,3.41,3.23
B cell,11,2.67,8.41,1.72,3.97
B cell,12,2.94,8.54,3.26,2.54
B cell,13,2.26,9.16,3.18,2.61
B cell,14,3.02,7.12,1.76,5.08
B cell,15,2.18,8.22,1.89,1.86
B cell,16,2.38,7.68,3.74,2.57
B cell,17,3.54,6.82,1.89,1.87
B cell,18,1.1,8.49,1.34,3.72
B cell,19,2.71,7.93,5.0,4.0
B cell,20,3.31,8.55,1.78,2.21
B cell,21,3.18,8.84,4.8,2.2
B cell,22,2.99,7.38,1.66,3.55
B cell,23,2.28,7.97,1.7,2.46
B cell,24,4.34,10.3,3.4,2.12
B cell,25,1.95,6.71,2.93,2.65
B cell,26,2.0,8.61,2.0,2.75
B cell,27,1.55,7.43,1.59,2.67
B cell,28,1.89,8.13,2.65,2.52
B cell,29,3.51,7.9,2.72,1.9
B cell,30,3.65,7.2,2.62,2.84
B cell,31,1.56,8.51,2.71,2.94
B cell,32,2.16,8.45,2.71,3.02
B cell,33,0.27,7.7,3.64,3.16
B cell,34,2.49,7.24,2.52,2.93
B cell,35,2.47,8.07,2.29,2.45
B cell,36,1.08,7.39,3.06,2.75
B cell,37,1.86,8.62,2.89,3.05
B cell,38,3.07,8.5,3.06,3.14
B cell,39,1.8,7.2,1.33,2.73
B cell,40,1.37,7.21,2.21,3.75
Monocyte,1,2.4,2.44,8.85,2.92
Monocyte,2,2.59,1.12,8.76,3.39
Monocyte,3,1.58,1.88,9.64,3.77
Monocyte,4,-0.01,1.73,8.92,4.08
Monocyte,5,2.19,2.26,7.86,3.64
Monocyte,6,3.11,0.95,8.6,4.4
Monocyte,7,1.0,2.93,8.24,2.89
Monocyte,8,1.01,1.45,8.37,2.78
Monocyte,9,1.55,1.97,7.97,3.79
Monocyte,10,2.31,2.09,9.63,3.51
Monocyte,11,1.63,1.33,8.11,4.16
Monocyte,12,1.61,2.17,7.97,3.75
Monocyte,13,2.12,1.29,10.28,2.77
Monocyte,14,1.81,2.06,8.87,1.95
Monocyte,15,1.52,2.55,8.52,0.13
Monocyte,16,2.02,2.6,9.83,4.74
Monocyte,17,2.34,2.78,8.37,4.55
Monocyte,18,3.21,1.79,9.28,3.63
Monocyte,19,2.26,2.34,8.72,3.84
Monocyte,20,2.36,1.46,8.78,2.91
Monocyte,21,1.17,3.69,8.95,4.59
Monocyte,22,2.96,2.17,7.73,3.3
Monocyte,23,1.02,1.62,8.85,3.42
Monocyte,24,2.14,1.43,8.78,2.35
Monocyte,25,2.45,1.79,8.84,3.97
Monocyte,26,1.67,1.66,8.9,4.26
Monocyte,27,1.86,2.66,7.85,3.19
Monocyte,28,2.63,2.17,7.94,3.61
Monocyte,29,2.04,2.33,8.2,3.4
Monocyte,30,1.4,1.86,7.87,2.99
Monocyte,31,2.06,1.59,8.45,3.13
Monocyte,32,2.46,1.89,8.4,3.91
Monocyte,33,1.55,0.98,8.71,4.38
Monocyte,34,2.83,0.87,8.83,2.75
Monocyte,35,1.46,3.02,7.12,3.97
Monocyte,36,2.05,2.62,7.89,4.64
Monocyte,37,2.82,1.45,7.78,3.13
Monocyte,38,1.45,0.68,9.2,3.85
Monocyte,39,1.08,4.34,8.35,2.51
Monocyte,40,3.46,2.76,8.46,4.04
