gene,pathway,log2_fold_change,adjusted_p,status,minus_log10_p
GENE001,Immune,1.59,2.0440017660354709e-07,Up,6.689518733302918
GENE002,Cell cycle,-1.565,1.7064662434386978e-05,Down,4.767902298321939
GENE003,Metabolism,0.528,0.0004086439197877532,Not significant,3.388654958564029
GENE004,Immune,-2.035,2.1508709344202688e-05,Down,4.667385649189848
GENE005,Cell cycle,-0.299,0.0010843121904699619,Not significant,2.964845659607266
GENE006,Metabolism,-0.249,0.005428765406342485,Not significant,2.2652989251397244
GENE007,Immune,0.816,0.0033792350664469837,Not significant,2.4711815967690525
GENE008,Cell cycle,-0.816,0.001977883239184812,Not significant,2.7037993497835586
GENE009,Metabolism,0.844,0.017481082504824056,Not significant,1.75743167746161
GENE010,Immune,-1.179,0.0001122853364793902,Down,3.949676955242463
GENE011,Cell cycle,-0.822,0.0008909676825424204,Not significant,3.0501380485422938
GENE012,Metabolism,-1.378,8.72048899276093e-05,Down,4.059459161752809
GENE013,Immune,2.297,7.31997567355996e-06,Up,5.135490362227978
GENE014,Cell cycle,-3.155,1e-07,Down,7.0
GENE015,Metabolism,0.83,0.009193636755455446,Not significant,2.0365126594086074
GENE016,Immune,-2.154,4.306964123016075e-06,Down,5.365828745892622
GENE017,Cell cycle,0.053,0.023773362998424124,Not significant,1.6239093782907763
GENE018,Metabolism,0.243,0.14750830570154877,Not significant,0.8311835253210955
GENE019,Immune,1.374,0.0002137041438952022,Up,3.6701870564350356
GENE020,Cell cycle,0.913,0.001065310413091891,Not significant,2.972523827858807
GENE021,Metabolism,-1.408,0.0011334854870927813,Down,2.945584036116089
GENE022,Immune,0.493,0.0443790921338483,Not significant,1.3528215864053372
GENE023,Cell cycle,1.265,0.0016388808614354361,Up,2.785452616351278
GENE024,Metabolism,2.002,1e-07,Up,7.0
GENE025,Immune,-0.633,0.007700529091872857,Not significant,2.113479434076006
GENE026,Cell cycle,-0.652,0.016294075713462284,Not significant,1.7879702699903643
GENE027,Metabolism,0.362,0.16947692768223024,Not significant,0.7708894175926208
GENE028,Immune,-1.501,0.0015618361035691873,Down,2.8063645421937333
GENE029,Cell cycle,0.726,0.0038839978830558833,Not significant,2.410721015472941
GENE030,Metabolism,1.608,0.0003946454584371148,Up,3.4037928906719928
GENE031,Immune,-0.715,0.02363177815772641,Not significant,1.626503598933255
GENE032,Cell cycle,0.858,0.00249531651740737,Not significant,2.6028743586398146
GENE033,Metabolism,0.946,0.001086054968972119,Not significant,2.964148193055536
GENE034,Immune,1.685,0.0002215482223062605,Up,3.654531730379284
GENE035,Cell cycle,-0.781,0.010820076345551476,Not significant,1.9657696748731879
GENE036,Metabolism,-1.657,1.5475911429847078e-05,Down,4.8103437644534255
GENE037,Immune,-2.331,1.1541594239351343e-06,Down,5.937734197979901
GENE038,Cell cycle,0.572,0.0005552915100536678,Not significant,3.2554789664788655
GENE039,Metabolism,1.42,0.0006635559932931631,Up,3.178122423888902
GENE040,Immune,0.563,0.004211408703565745,Not significant,2.375572609662549
GENE041,Cell cycle,1.236,0.0047940271383880495,Up,2.319299511808661
GENE042,Metabolism,-1.015,0.009700029288338297,Down,2.013226954419889
GENE043,Immune,0.879,0.006343236047299499,Not significant,2.197689127143886
GENE044,Cell cycle,-1.875,4.325887550739926e-05,Down,4.3639247740157145
GENE045,Metabolism,-0.94,0.0010286693671812033,Not significant,2.9877241928593294
GENE046,Immune,-2.876,2.9697932043384977e-07,Down,6.527273790865103
GENE047,Cell cycle,0.318,0.015475316859674262,Not significant,1.8103604499654042
GENE048,Metabolism,-0.291,0.10818334992937899,Not significant,0.9658395746288517
GENE049,Immune,-0.959,0.0004969968033610697,Not significant,3.3036464046008986
GENE050,Cell cycle,-0.02,0.005831403140675328,Not significant,2.23422693358862
GENE051,Metabolism,-1.384,0.0018801208104827103,Down,2.725814243480857
GENE052,Immune,2.444,8.769895309893651e-06,Up,5.057005590967696
GENE053,Cell cycle,-1.089,0.0010831104118398766,Down,2.965327269313141
GENE054,Metabolism,2.679,6.737760152785012e-07,Up,6.1714844528645365
GENE055,Immune,1.257,0.00031727852389736315,Up,3.498559323640289
GENE056,Cell cycle,0.547,0.014111730781495671,Not significant,1.8504197174465333
GENE057,Metabolism,2.28,1.7508304424781416e-05,Up,4.756755910719346
GENE058,Immune,0.434,0.13316041519236108,Not significant,0.8756248593889792
GENE059,Cell cycle,0.485,0.03771744016280451,Not significant,1.4234577899774816
GENE060,Metabolism,1.882,4.999181457737763e-05,Up,4.301101099161801
GENE061,Immune,-0.489,0.0021497367774149225,Not significant,2.6676147136260657
GENE062,Cell cycle,0.811,0.014227470702139531,Not significant,1.8468723000378404
GENE063,Metabolism,3.812,1e-07,Up,7.0
GENE064,Immune,0.423,0.00011706239594461272,Not significant,3.931582591319774
GENE065,Cell cycle,-1.118,0.001652772035631789,Down,2.7817870438844414
GENE066,Metabolism,-1.169,2.01194928141739e-05,Down,4.6963829714680925
GENE067,Immune,-1.23,4.130508306762006e-07,Down,6.383996500101933
GENE068,Cell cycle,0.246,0.06951333223693466,Not significant,1.1579318923646784
GENE069,Metabolism,1.458,0.0005436011208965454,Up,3.2647196564305614
GENE070,Immune,1.165,0.0001478613926477895,Up,3.8301452076718308
GENE071,Cell cycle,-1.399,0.0023517808681731227,Down,2.628603146956786
GENE072,Metabolism,1.027,0.00834388098368044,Up,2.0786318992722586
GENE073,Immune,2.314,1.2305483878924602e-06,Up,5.909901304202942
GENE074,Cell cycle,-0.703,0.0026584804418165503,Not significant,2.575366530400543
GENE075,Metabolism,1.576,5.361397675800336e-06,Up,5.270721978262422
GENE076,Immune,1.766,5.9556772224580725e-05,Up,4.225068847572636
GENE077,Cell cycle,1.718,0.0001360065631206959,Up,3.8664401338479544
GENE078,Metabolism,-2.979,1.113519645280191e-06,Down,5.953302116518115
GENE079,Immune,0.607,0.021475393538937,Not significant,1.6680588689298863
GENE080,Cell cycle,-0.091,0.2379381093124692,Not significant,0.6235359936978042
GENE081,Metabolism,0.166,0.05347255851595265,Not significant,1.271869035597117
GENE082,Immune,-1.42,5.43909359816756e-05,Down,4.26447346760183
GENE083,Cell cycle,3.125,1.364065714825802e-06,Up,5.865164706733237
GENE084,Metabolism,-0.353,0.004278198557547742,Not significant,2.3687390630449476
GENE085,Immune,1.321,0.0002819878633845094,Up,3.5497695830939815
GENE086,Cell cycle,1.118,0.00015229157648454037,Up,3.81732411759274
GENE087,Metabolism,-0.168,0.24071107368581804,Not significant,0.618503929957537
GENE088,Immune,0.244,0.19049080513544228,Not significant,0.7201259825884363
GENE089,Cell cycle,1.881,5.617633741560643e-05,Up,4.250446579339563
GENE090,Metabolism,-1.599,0.00013046137684793712,Down,3.8845180423833137
GENE091,Immune,-1.523,1.0296083996165866e-05,Down,4.987327923084775
GENE092,Cell cycle,-0.25,0.2508664116978147,Not significant,0.60055748213213
GENE093,Metabolism,1.225,0.0024990066788763672,Up,2.602232583171159
GENE094,Immune,-0.779,0.01884541703864159,Not significant,1.724794247411683
GENE095,Cell cycle,1.319,0.0011237678945409313,Up,2.9493233796293428
GENE096,Metabolism,-0.353,0.031506959228504904,Not significant,1.5015935090444965
GENE097,Immune,-1.704,2.8588417512496806e-05,Down,4.543809883977844
GENE098,Cell cycle,-0.17,0.2697891050172549,Not significant,0.568975592567839
GENE099,Metabolism,-0.946,8.46047681672056e-05,Not significant,4.0726051602428655
GENE100,Immune,0.14,0.012794046289444111,Not significant,1.8929920823183326
GENE101,Cell cycle,-1.942,1.7990340508083914e-06,Down,5.744960616566489
GENE102,Metabolism,0.599,0.060789066756931916,Not significant,1.2161745239198172
GENE103,Immune,0.59,0.02246704807438122,Not significant,1.6484539854012668
GENE104,Cell cycle,-0.603,0.006718811962586413,Not significant,2.1727075132120732
GENE105,Metabolism,-1.34,5.169465569311728e-05,Down,4.286554352901412
GENE106,Immune,-0.885,0.0020433554274230077,Not significant,2.689656084301075
GENE107,Cell cycle,-2.047,0.00017690213469489084,Down,3.7522669263858224
GENE108,Metabolism,0.488,0.0026224903739170214,Not significant,2.581286097247805
GENE109,Immune,-1.94,1.6730801226412915e-05,Down,4.77648326047946
GENE110,Cell cycle,-1.058,0.0018115937027277371,Down,2.7419391976354417
GENE111,Metabolism,-0.963,0.0009719558360539052,Not significant,3.0123534681949575
GENE112,Immune,1.82,9.319347739464745e-05,Up,4.030614482824573
GENE113,Cell cycle,-0.528,0.06824305873064208,Not significant,1.1659415158371764
GENE114,Metabolism,-0.112,0.0014138970499516642,Not significant,2.8495822116604925
GENE115,Immune,-0.836,0.003002873235119941,Not significant,2.5224630009511744
GENE116,Cell cycle,2.228,1.3073618731049307e-05,Up,4.883604184615309
GENE117,Metabolism,2.915,5.265336959618141e-07,Up,6.2785738305525465
GENE118,Immune,0.663,0.00010155311135683496,Not significant,3.9933067662581414
GENE119,Cell cycle,0.236,0.1486479986497582,Not significant,0.8278409336249869
GENE120,Metabolism,-0.451,0.0005817730898600916,Not significant,3.235246371084073
GENE121,Immune,1.02,0.0022000234130773095,Up,2.6575726973068057
GENE122,Cell cycle,0.435,0.008105447781948046,Not significant,2.091222987742382
GENE123,Metabolism,-0.579,0.03626038872283902,Not significant,1.440567544441308
GENE124,Immune,-2.314,3.291470173607703e-07,Down,6.482610076010541
GENE125,Cell cycle,-0.75,0.0012740752698328704,Not significant,2.8948049139885477
GENE126,Metabolism,-0.043,0.3995486701743857,Not significant,0.39843031046582
GENE127,Immune,0.39,0.006590942705736539,Not significant,2.181052463612538
GENE128,Cell cycle,0.376,0.027563751998969578,Not significant,1.5596616662440546
GENE129,Metabolism,0.018,0.0002300784548216749,Not significant,3.6381240479552153
GENE130,Immune,-0.131,0.19230825658478642,Not significant,0.7160020693120419
GENE131,Cell cycle,-0.788,8.03570247178194e-05,Not significant,4.094976151721626
GENE132,Metabolism,0.467,0.002095396293201808,Not significant,2.678733828700206
GENE133,Immune,-1.451,0.0020237025500606898,Down,2.6938533210617432
GENE134,Cell cycle,-0.488,0.0009443114193189712,Not significant,3.0248847584688425
GENE135,Metabolism,0.822,0.0040843848526394225,Not significant,2.3888733431025084
GENE136,Immune,0.876,0.0015535833137793444,Not significant,2.808665451939463
GENE137,Cell cycle,-0.227,0.0006012727139067229,Not significant,3.220928504234699
GENE138,Metabolism,-0.749,6.918711640053072e-05,Not significant,4.159974769662941
GENE139,Immune,0.405,0.07955076647551217,Not significant,1.099355631548741
GENE140,Cell cycle,0.617,0.0012710282941061214,Not significant,2.895844781595962
GENE141,Metabolism,-1.465,0.0001333471293118058,Down,3.875016329336397
GENE142,Immune,-0.183,0.05976380521357988,Not significant,1.2235617584040301
GENE143,Cell cycle,0.995,5.862921736685637e-05,Not significant,4.231885903112222
GENE144,Metabolism,-0.914,0.003983819325056774,Not significant,2.3997003660089162
GENE145,Immune,0.21,0.208392206339161,Not significant,0.681118527249617
GENE146,Cell cycle,-0.691,0.007643912128913746,Not significant,2.1166843140486344
GENE147,Metabolism,-1.19,0.0029979896462355438,Down,2.52316987135116
GENE148,Immune,0.573,0.023994958494390255,Not significant,1.6198799969577682
GENE149,Cell cycle,1.12,0.00021927842201655446,Up,3.659004102751159
GENE150,Metabolism,0.366,0.1166839214634537,Not significant,0.9329889837213661
GENE151,Immune,0.37,0.002446611100123197,Not significant,2.6114350582302595
GENE152,Cell cycle,-0.064,0.007024154528210377,Not significant,2.1534059427154424
GENE153,Metabolism,1.082,0.007067967075369229,Up,2.150705482229615
GENE154,Immune,1.505,0.00029030444540594966,Up,3.5371463138049366
GENE155,Cell cycle,2.33,1.3281786542348914e-07,Up,6.876743503785845
GENE156,Metabolism,2.323,1.425504950318645e-05,Up,4.846031270187325
GENE157,Immune,1.454,0.0007047980679254075,Up,3.151935295133018
GENE158,Cell cycle,-0.298,0.16053136365060106,Not significant,0.7944401051301286
GENE159,Metabolism,-0.656,0.00024669348251804546,Not significant,3.6078423241374975
GENE160,Immune,-0.958,0.007956902367529006,Not significant,2.0992559707693266
GENE161,Cell cycle,1.461,0.0003358582813917459,Up,3.473843938660818
