date,region,reach,engagement,completion_rate
2025-01-01,North,99.1,46.1,0.707
2025-02-01,North,94.7,43.8,0.701
2025-03-01,North,92.2,43.8,0.678
2025-04-01,North,91.8,52.7,0.73
2025-05-01,North,82.0,38.6,0.692
2025-06-01,North,102.6,45.6,0.726
2025-07-01,North,87.2,55.3,0.736
2025-08-01,North,116.6,51.7,0.712
2025-09-01,North,125.5,49.0,0.694
2025-10-01,North,119.9,46.5,0.725
2025-11-01,North,120.0,46.4,0.709
2025-12-01,North,129.6,49.0,0.732
2026-01-01,North,112.6,50.6,0.715
2026-02-01,North,134.4,52.0,0.758
2026-03-01,North,133.4,50.4,0.737
2026-04-01,North,130.8,53.0,0.762
2026-05-01,North,139.1,52.8,0.732
2026-06-01,North,142.9,57.9,0.789
2026-07-01,North,145.8,63.9,0.785
2026-08-01,North,146.7,53.7,0.739
2026-09-01,North,151.1,53.3,0.752
2026-10-01,North,139.3,48.3,0.737
2026-11-01,North,145.8,61.1,0.814
2026-12-01,North,158.2,55.7,0.758
2025-01-01,Central,108.2,44.3,0.685
2025-02-01,Central,112.1,55.5,0.77
2025-03-01,Central,118.4,47.7,0.7
2025-04-01,Central,115.8,48.0,0.673
2025-05-01,Central,127.1,50.4,0.725
2025-06-01,Central,123.7,45.8,0.726
2025-07-01,Central,123.2,44.2,0.677
2025-08-01,Central,129.5,50.4,0.707
2025-09-01,Central,126.0,51.1,0.74
2025-10-01,Central,145.6,53.4,0.736
2025-11-01,Central,127.2,55.9,0.752
2025-12-01,Central,139.5,50.0,0.74
2026-01-01,Central,142.1,53.3,0.719
2026-02-01,Central,159.7,59.5,0.813
2026-03-01,Central,139.6,59.9,0.764
2026-04-01,Central,160.1,49.7,0.718
2026-05-01,Central,145.6,57.6,0.754
2026-06-01,Central,153.6,56.2,0.774
2026-07-01,Central,159.7,61.0,0.77
2026-08-01,Central,152.4,56.2,0.773
2026-09-01,Central,163.0,66.0,0.814
2026-10-01,Central,165.7,69.0,0.807
2026-11-01,Central,158.1,64.7,0.803
2026-12-01,Central,169.4,66.1,0.851
2025-01-01,South,116.8,47.4,0.731
2025-02-01,South,137.5,52.5,0.779
2025-03-01,South,131.7,55.4,0.736
2025-04-01,South,116.7,51.2,0.723
2025-05-01,South,137.1,52.3,0.733
2025-06-01,South,148.3,53.4,0.794
2025-07-01,South,138.8,54.8,0.726
2025-08-01,South,154.7,53.5,0.741
2025-09-01,South,154.3,55.1,0.798
2025-10-01,South,151.5,52.3,0.742
2025-11-01,South,155.0,58.4,0.787
2025-12-01,South,159.2,63.6,0.878
2026-01-01,South,165.2,56.9,0.758
2026-02-01,South,159.6,65.6,0.81
2026-03-01,South,155.0,63.8,0.785
2026-04-01,South,155.3,62.2,0.778
2026-05-01,South,160.0,56.1,0.717
2026-06-01,South,159.7,63.6,0.798
2026-07-01,South,174.8,60.9,0.809
2026-08-01,South,184.2,69.7,0.855
2026-09-01,South,182.0,60.4,0.774
2026-10-01,South,171.8,63.6,0.808
2026-11-01,South,184.9,68.2,0.839
2026-12-01,South,194.2,63.2,0.814
