site_id,region,habitat,elevation_m,rainfall_mm,temperature_c,species_richness,survey_effort_h
SITE-0001,Central,Forest,940.7,1039.6,24.7,41,4.3
SITE-0002,Central,Forest,1122.7,1181.1,23.2,43,6.2
SITE-0003,North,Grassland,328.8,774.7,25.9,21,4.1
SITE-0004,South,Forest,339.6,1788.0,26.7,60,3.7
SITE-0005,South,Grassland,343.7,1314.9,26.4,39,3.4
SITE-0006,North,Forest,414.0,863.8,28.6,26,7.2
SITE-0007,North,Grassland,40.0,777.4,29.3,19,4.6
SITE-0008,North,Forest,457.4,902.2,27.1,35,5.7
SITE-0009,Central,Forest,895.6,1110.7,24.5,44,5.3
SITE-0010,South,Forest,679.0,1414.0,26.2,43,3.5
SITE-0011,Central,Forest,774.4,1252.2,23.3,50,6.0
SITE-0012,North,Forest,778.7,911.2,22.1,23,6.7
SITE-0013,South,Grassland,467.6,1316.9,30.0,38,8.7
SITE-0014,North,Grassland,283.0,1104.3,27.8,31,9.3
SITE-0015,South,Forest,896.8,1666.4,24.6,53,4.2
SITE-0016,Central,Grassland,1238.4,1302.4,20.4,38,10.5
SITE-0017,North,Forest,702.6,853.1,25.8,30,2.5
SITE-0018,South,Forest,522.4,1335.8,26.7,45,7.7
SITE-0019,South,Forest,394.1,1762.8,27.3,45,2.9
SITE-0020,South,Grassland,640.3,1223.2,24.3,27,6.8
SITE-0021,Central,Forest,539.6,1314.4,26.2,41,4.2
SITE-0022,Central,Forest,1176.8,1142.3,20.0,38,3.9
SITE-0023,North,Grassland,240.8,856.9,28.6,19,9.7
SITE-0024,Central,Grassland,1244.9,780.8,22.4,16,4.3
SITE-0025,South,Forest,851.9,2030.5,26.0,52,5.1
SITE-0026,Central,Forest,827.5,991.7,22.6,40,5.1
SITE-0027,North,Grassland,149.4,1025.1,28.9,26,6.2
SITE-0028,North,Forest,415.9,562.5,28.5,22,9.4
SITE-0029,North,Forest,86.1,981.0,29.7,35,6.1
SITE-0030,South,Grassland,726.5,1052.6,23.1,22,1.9
SITE-0031,North,Grassland,40.0,803.1,29.9,13,1.6
SITE-0032,Central,Grassland,1025.3,1037.1,23.7,31,3.1
SITE-0033,Central,Forest,811.7,933.9,23.6,31,2.9
SITE-0034,Central,Grassland,604.7,1116.5,25.5,32,6.1
SITE-0035,Central,Forest,753.0,1525.2,22.6,44,4.6
SITE-0036,Central,Grassland,761.1,1056.4,23.4,37,5.0
SITE-0037,Central,Forest,855.0,1320.1,24.5,48,4.4
SITE-0038,North,Forest,219.6,896.4,28.7,34,8.3
SITE-0039,Central,Forest,728.4,1022.7,25.2,38,8.5
SITE-0040,South,Forest,392.7,1250.4,27.9,38,1.0
SITE-0041,North,Forest,183.2,993.1,28.1,31,7.4
SITE-0042,North,Grassland,40.0,515.6,30.1,14,13.0
SITE-0043,North,Forest,40.0,741.4,31.9,30,15.0
SITE-0044,North,Grassland,285.6,565.5,27.6,20,3.5
SITE-0045,North,Forest,597.9,1339.3,27.8,42,3.1
SITE-0046,North,Grassland,381.4,852.6,28.2,27,2.9
SITE-0047,North,Grassland,384.1,359.8,27.9,8,5.4
SITE-0048,North,Grassland,761.1,435.5,27.4,9,3.1
SITE-0049,South,Forest,756.6,1717.4,25.8,50,5.1
SITE-0050,South,Forest,614.9,1278.4,26.3,41,5.2
SITE-0051,North,Forest,694.6,1013.4,25.2,33,4.6
SITE-0052,South,Grassland,406.6,1131.8,25.0,28,1.2
SITE-0053,North,Grassland,565.1,524.0,24.4,12,2.3
SITE-0054,South,Grassland,458.7,1414.3,28.6,27,9.2
SITE-0055,South,Grassland,552.0,1635.8,26.4,36,2.5
SITE-0056,South,Forest,370.7,1532.8,28.1,48,7.5
SITE-0057,Central,Forest,988.3,966.9,25.7,38,4.4
SITE-0058,North,Grassland,227.8,898.2,30.4,23,2.6
SITE-0059,North,Forest,603.1,1164.3,26.7,38,9.8
SITE-0060,South,Grassland,548.1,1303.6,27.4,33,11.4
