date,region,requests,expected_lower,expected_upper,requests_7d,weekday
2026-01-01,Central,664.0,605.0,728.0,,Thursday
2026-01-02,Central,673.0,608.0,737.0,,Friday
2026-01-03,Central,639.0,581.0,702.0,,Saturday
2026-01-04,Central,706.0,647.0,763.0,670.5,Sunday
2026-01-05,Central,742.0,683.0,805.0,684.8,Monday
2026-01-06,Central,749.0,694.0,810.0,695.5,Tuesday
2026-01-07,Central,725.0,663.0,787.0,699.7142857142857,Wednesday
2026-01-08,Central,647.0,585.0,709.0,697.2857142857143,Thursday
2026-01-09,Central,652.0,597.0,716.0,694.2857142857143,Friday
2026-01-10,Central,692.0,627.0,751.0,701.8571428571429,Saturday
2026-01-11,Central,741.0,676.0,805.0,706.8571428571429,Sunday
2026-01-12,Central,714.0,656.0,774.0,702.8571428571429,Monday
2026-01-13,Central,711.0,655.0,772.0,697.4285714285714,Tuesday
2026-01-14,Central,708.0,648.0,763.0,695.0,Wednesday
2026-01-15,Central,702.0,646.0,759.0,702.8571428571429,Thursday
2026-01-16,Central,668.0,604.0,732.0,705.1428571428571,Friday
2026-01-17,Central,698.0,636.0,760.0,706.0,Saturday
2026-01-18,Central,706.0,648.0,764.0,701.0,Sunday
2026-01-19,Central,747.0,684.0,805.0,705.7142857142857,Monday
2026-01-20,Central,794.0,731.0,851.0,717.5714285714286,Tuesday
2026-01-21,Central,723.0,668.0,784.0,719.7142857142857,Wednesday
2026-01-22,Central,703.0,641.0,761.0,719.8571428571429,Thursday
2026-01-23,Central,655.0,596.0,715.0,718.0,Friday
2026-01-24,Central,639.0,579.0,697.0,709.5714285714286,Saturday
2026-01-25,Central,716.0,656.0,780.0,711.0,Sunday
2026-01-26,Central,738.0,681.0,802.0,709.7142857142857,Monday
2026-01-27,Central,742.0,686.0,801.0,702.2857142857143,Tuesday
2026-01-28,Central,753.0,694.0,810.0,706.5714285714286,Wednesday
2026-01-29,Central,647.0,589.0,705.0,698.5714285714286,Thursday
2026-01-30,Central,702.0,641.0,760.0,705.2857142857143,Friday
2026-01-31,Central,670.0,605.0,725.0,709.7142857142857,Saturday
2026-02-01,Central,725.0,665.0,786.0,711.0,Sunday
2026-02-02,Central,769.0,704.0,832.0,715.4285714285714,Monday
2026-02-03,Central,761.0,699.0,822.0,718.1428571428571,Tuesday
2026-02-04,Central,700.0,638.0,759.0,710.5714285714286,Wednesday
2026-02-05,Central,676.0,615.0,739.0,714.7142857142857,Thursday
2026-02-06,Central,667.0,604.0,731.0,709.7142857142857,Friday
2026-02-07,Central,690.0,631.0,751.0,712.5714285714286,Saturday
2026-02-08,Central,709.0,647.0,767.0,710.2857142857143,Sunday
2026-02-09,Central,749.0,692.0,806.0,707.4285714285714,Monday
2026-02-10,Central,754.0,695.0,814.0,706.4285714285714,Tuesday
2026-02-11,Central,757.0,693.0,818.0,714.5714285714286,Wednesday
2026-02-12,Central,694.0,635.0,755.0,717.1428571428571,Thursday
2026-02-13,Central,687.0,630.0,744.0,720.0,Friday
2026-02-14,Central,677.0,622.0,738.0,718.1428571428571,Saturday
2026-02-15,Central,712.0,650.0,767.0,718.5714285714286,Sunday
2026-02-16,Central,703.0,641.0,758.0,712.0,Monday
2026-02-17,Central,768.0,705.0,827.0,714.0,Tuesday
2026-02-18,Central,735.0,678.0,800.0,710.8571428571429,Wednesday
2026-02-19,Central,694.0,635.0,754.0,710.8571428571429,Thursday
2026-02-20,Central,666.0,605.0,730.0,707.8571428571429,Friday
2026-02-21,Central,692.0,633.0,748.0,710.0,Saturday
