ticket_id,period,region,priority,channel,topic,status,response_hours,comment
T0001,Earlier,Central,Medium,Email,Returns,Resolved,7.1,Please help with replacement refund fixed thanks.
T0002,Recent,West,Low,Chat,Returns,Resolved,13.91,Please help with replacement refund thanks fixed.
T0003,Recent,North,High,Chat,Delivery,Pending,4.34,Please help with address late response waiting.
T0004,Recent,East,Low,Chat,Product,Resolved,9.4,Please help with product replacement thanks quick.
T0005,Earlier,East,Low,Web,Delivery,Resolved,7.75,Please help with address late fixed helpful.
T0006,Earlier,North,Critical,Chat,Returns,Resolved,6.98,Please help with return refund helpful fixed.
T0007,Earlier,East,Medium,Chat,Returns,Resolved,8.09,Please help with label refund helpful fixed.
T0008,Recent,North,Medium,Chat,Technical,Resolved,18.55,Please help with error update helpful fixed.
T0009,Earlier,North,High,Web,Delivery,Resolved,9.74,Please help with address late fixed thanks.
T0010,Recent,East,Medium,Chat,Technical,Resolved,10.79,Please help with device connection thanks helpful.
T0011,Recent,East,Medium,Web,Delivery,Resolved,7.15,Please help with delivery tracking helpful quick.
T0012,Recent,East,High,Phone,Technical,Resolved,6.44,Please help with device update thanks quick.
T0013,Earlier,East,Medium,Social,Account,Resolved,4.87,Please help with account login thanks helpful.
T0014,Recent,East,Low,Chat,Billing,Resolved,8.65,Please help with invoice payment quick helpful.
T0015,Recent,North,Medium,Phone,Technical,Resolved,15.41,Please help with device error fixed helpful.
T0016,Earlier,West,Low,Email,Account,Resolved,6.69,Please help with access account quick helpful.
T0017,Recent,Central,Low,Email,Billing,Resolved,7.7,Please help with invoice payment helpful fixed.
T0018,Recent,Central,Medium,Social,Billing,Pending,6.68,Please help with payment invoice update still.
T0019,Earlier,Central,Medium,Web,Technical,Escalated,9.91,Please help with connection error repeated unresolved.
T0020,Earlier,North,Critical,Chat,Returns,Escalated,3.01,Please help with replacement return frustrated urgent.
T0021,Recent,West,High,Email,Delivery,Resolved,5.01,Please help with address tracking helpful fixed.
