date,region,requests,completed,completion_rate,median_resolution_hours,satisfaction_score
2026-04-01,Central,126,116,0.9206,20.3122,3.7443
2026-04-01,Coastal,109,92,0.8440,20.5612,3.6809
2026-04-01,Lake,70,67,0.9571,20.3298,3.5685
2026-04-01,Northern,81,76,0.9383,19.8134,3.6607
2026-04-02,Central,107,97,0.9065,19.8193,3.7395
2026-04-02,Coastal,94,85,0.9043,20.5960,3.5108
2026-04-02,Lake,74,71,0.9595,19.6512,3.7153
2026-04-02,Northern,68,62,0.9118,20.2785,3.5840
2026-04-03,Central,133,126,0.9474,21.0868,3.6531
2026-04-03,Coastal,101,84,0.8317,21.2714,3.5654
2026-04-03,Lake,76,70,0.9211,20.9627,3.4933
2026-04-03,Northern,111,104,0.9369,18.1654,3.8225
2026-04-04,Central,92,81,0.8804,17.0959,3.7650
2026-04-04,Coastal,88,75,0.8523,21.6936,3.5473
2026-04-04,Lake,75,73,0.9733,18.6877,3.4261
2026-04-04,Northern,99,92,0.9293,21.6292,3.5361
2026-04-05,Central,104,98,0.9423,21.6928,3.5362
2026-04-05,Coastal,76,70,0.9211,21.5727,3.5490
2026-04-05,Lake,71,66,0.9296,23.1041,3.7489
2026-04-05,Northern,76,69,0.9079,24.0571,3.5809
2026-04-06,Central,132,116,0.8788,21.9475,3.8084
2026-04-06,Coastal,113,94,0.8319,20.9980,3.6373
2026-04-06,Lake,72,62,0.8611,21.2579,3.6780
2026-04-06,Northern,80,69,0.8625,20.2553,3.8768
2026-04-07,Central,113,97,0.8584,19.0999,3.6891
2026-04-07,Coastal,116,106,0.9138,19.9334,3.5153
2026-04-07,Lake,73,67,0.9178,23.6952,3.5905
2026-04-07,Northern,103,92,0.8932,20.7319,3.6707
2026-04-08,Central,120,105,0.8750,19.8940,3.7468
2026-04-08,Coastal,119,109,0.9160,22.3849,3.5491
2026-04-08,Lake,93,89,0.9570,21.8788,3.8446
2026-04-08,Northern,102,97,0.9510,24.6340,3.5730
2026-04-09,Central,131,122,0.9313,20.6694,3.5959
2026-04-09,Coastal,104,90,0.8654,21.3926,3.7458
2026-04-09,Lake,70,64,0.9143,19.6642,3.6004
2026-04-09,Northern,102,96,0.9412,22.2826,3.6453
2026-04-10,Central,118,107,0.9068,19.0394,3.7041
2026-04-10,Coastal,113,100,0.8850,18.1105,3.8744
2026-04-10,Lake,64,52,0.8125,18.8267,3.8264
2026-04-10,Northern,96,88,0.9167,22.6269,3.6121
2026-04-11,Central,107,93,0.8692,21.3896,3.6886
2026-04-11,Coastal,102,93,0.9118,20.1971,3.7078
2026-04-11,Lake,72,63,0.8750,21.5224,3.6423
2026-04-11,Northern,83,74,0.8916,21.2000,3.5026
2026-04-12,Central,99,88,0.8889,20.3083,3.7050
2026-04-12,Coastal,103,97,0.9417,22.4976,3.7816
2026-04-12,Lake,59,56,0.9492,17.6388,3.7290
2026-04-12,Northern,87,77,0.8851,18.8507,3.4416
2026-04-13,Central,132,121,0.9167,19.8543,3.6697
2026-04-13,Coastal,99,92,0.9293,19.8129,3.5698
2026-04-13,Lake,81,73,0.9012,19.3493,3.6351
2026-04-13,Northern,93,83,0.8925,21.3519,3.7236
2026-04-14,Central,132,109,0.8258,21.2182,3.5202
2026-04-14,Coastal,100,88,0.8800,22.3551,3.5478
2026-04-14,Lake,76,71,0.9342,23.9929,3.7677
2026-04-14,Northern,79,64,0.8101,22.4326,3.6625
2026-04-15,Central,145,130,0.8966,22.4594,3.3706
2026-04-15,Coastal,113,97,0.8584,20.5606,3.5533
2026-04-15,Lake,93,88,0.9462,17.6547,3.5536
2026-04-15,Northern,98,87,0.8878,23.2885,3.9161
2026-04-16,Central,125,113,0.9040,21.3207,3.5315
2026-04-16,Coastal,121,103,0.8512,17.6727,3.4855
2026-04-16,Lake,89,81,0.9101,20.6728,3.7618
2026-04-16,Northern,90,81,0.9000,17.7686,3.7329
2026-04-17,Central,121,116,0.9587,19.0692,3.8224
2026-04-17,Coastal,103,92,0.8932,19.3183,3.6389
2026-04-17,Lake,86,82,0.9535,21.2450,3.5180
2026-04-17,Northern,96,82,0.8542,19.6202,3.6598
2026-04-18,Central,110,103,0.9364,22.8287,3.5116
2026-04-18,Coastal,83,70,0.8434,21.3404,3.3624
2026-04-18,Lake,81,75,0.9259,17.3701,3.7163
2026-04-18,Northern,81,77,0.9506,21.4315,3.7641
2026-04-19,Central,114,102,0.8947,18.0516,3.6429
2026-04-19,Coastal,97,86,0.8866,18.8076,3.6713
2026-04-19,Lake,61,55,0.9016,19.4422,3.6800
2026-04-19,Northern,95,86,0.9053,21.7231,3.5479
2026-04-20,Central,132,122,0.9242,21.3910,3.7655
2026-04-20,Coastal,107,91,0.8505,22.4654,3.6015
2026-04-20,Lake,71,65,0.9155,19.8294,3.5989
2026-04-20,Northern,99,81,0.8182,20.0817,3.3707
2026-04-21,Central,112,95,0.8482,22.1248,3.5338
2026-04-21,Coastal,92,85,0.9239,21.5413,3.4626
2026-04-21,Lake,74,63,0.8514,19.5664,3.8331
2026-04-21,Northern,90,77,0.8556,21.3393,3.5812
2026-04-22,Central,128,115,0.8984,19.4216,3.6710
2026-04-22,Coastal,120,105,0.8750,19.0643,3.5395
2026-04-22,Lake,94,84,0.8936,21.0170,3.5770
2026-04-22,Northern,102,93,0.9118,20.3333,3.6871
2026-04-23,Central,130,122,0.9385,19.6235,3.7583
2026-04-23,Coastal,103,84,0.8155,20.4865,3.7454
2026-04-23,Lake,67,61,0.9104,20.7629,3.6933
2026-04-23,Northern,93,78,0.8387,21.7361,3.5936
2026-04-24,Central,120,112,0.9333,21.9262,3.5274
2026-04-24,Coastal,109,98,0.8991,21.7590,3.4689
2026-04-24,Lake,89,83,0.9326,23.5641,3.7402
2026-04-24,Northern,104,93,0.8942,20.3767,3.6898
2026-04-25,Central,110,100,0.9091,21.4447,3.7341
2026-04-25,Coastal,99,90,0.9091,18.4787,3.7294
2026-04-25,Lake,67,62,0.9254,21.3666,3.6620
2026-04-25,Northern,72,62,0.8611,22.0748,3.5897
2026-04-26,Central,124,109,0.8790,17.2232,3.5474
2026-04-26,Coastal,102,91,0.8922,21.2980,3.5245
2026-04-26,Lake,81,71,0.8765,17.5907,3.6195
2026-04-26,Northern,88,78,0.8864,22.1367,3.6136
2026-04-27,Central,128,117,0.9141,16.9713,3.5774
2026-04-27,Coastal,107,92,0.8598,17.6914,3.7012
2026-04-27,Lake,93,85,0.9140,19.1000,3.6726
2026-04-27,Northern,99,85,0.8586,21.1779,3.6493
2026-04-28,Central,124,109,0.8790,16.9305,3.5263
2026-04-28,Coastal,116,102,0.8793,18.4453,3.4008
2026-04-28,Lake,82,74,0.9024,20.0479,3.8307
2026-04-28,Northern,105,92,0.8762,22.3982,3.6455
2026-04-29,Central,138,127,0.9203,22.5746,3.7789
2026-04-29,Coastal,104,92,0.8846,22.4360,3.8202
2026-04-29,Lake,79,75,0.9494,22.7641,3.5127
2026-04-29,Northern,94,84,0.8936,23.1542,3.7940
2026-04-30,Central,137,124,0.9051,15.6844,3.5883
2026-04-30,Coastal,106,97,0.9151,21.6992,3.4126
2026-04-30,Lake,78,73,0.9359,19.0770,3.5701
2026-04-30,Northern,100,95,0.9500,19.7002,3.6695
2026-05-01,Central,124,116,0.9355,23.5030,3.8575
2026-05-01,Coastal,102,90,0.8824,18.0472,3.5874
2026-05-01,Lake,75,73,0.9733,22.0072,3.7638
2026-05-01,Northern,100,92,0.9200,20.5956,3.6976
2026-05-02,Central,104,95,0.9135,18.7292,3.6056
2026-05-02,Coastal,88,79,0.8977,19.1691,3.7357
2026-05-02,Lake,82,78,0.9512,18.9897,3.7542
2026-05-02,Northern,79,73,0.9241,18.0832,3.7490
2026-05-03,Central,103,97,0.9417,17.7417,3.8208
2026-05-03,Coastal,87,81,0.9310,21.8979,3.5140
2026-05-03,Lake,71,67,0.9437,23.8363,3.6521
2026-05-03,Northern,78,70,0.8974,20.9347,3.3348
2026-05-04,Central,136,126,0.9265,19.5511,3.7812
2026-05-04,Coastal,103,95,0.9223,17.9596,3.7327
2026-05-04,Lake,77,72,0.9351,18.6794,3.5531
2026-05-04,Northern,89,80,0.8989,23.1736,3.4171
2026-05-05,Central,124,112,0.9032,18.2142,3.6178
2026-05-05,Coastal,110,92,0.8364,22.9778,3.3940
2026-05-05,Lake,82,73,0.8902,17.7354,3.5501
2026-05-05,Northern,99,91,0.9192,22.7479,3.7544
2026-05-06,Central,125,113,0.9040,20.7575,3.7113
2026-05-06,Coastal,95,89,0.9368,20.6060,3.6808
2026-05-06,Lake,90,79,0.8778,20.2132,3.6810
2026-05-06,Northern,100,94,0.9400,19.5790,3.6589
2026-05-07,Central,131,120,0.9160,17.5552,3.6276
2026-05-07,Coastal,95,88,0.9263,21.8964,3.6248
2026-05-07,Lake,78,74,0.9487,18.7938,3.5560
2026-05-07,Northern,108,93,0.8611,18.8733,3.5234
2026-05-08,Central,126,115,0.9127,18.5266,3.6494
2026-05-08,Coastal,95,88,0.9263,16.9395,3.6559
2026-05-08,Lake,82,78,0.9512,18.0239,3.6568
2026-05-08,Northern,92,85,0.9239,21.5546,3.6441
2026-05-09,Central,97,88,0.9072,20.6009,3.7055
2026-05-09,Coastal,81,68,0.8395,22.1371,3.7199
