month,region,service,requests,completed,median_wait_minutes
2026-01-01,Central,Digital,128,115,8.4
2026-01-01,Central,In-person,94,78,24.6
2026-01-01,Coastal,Digital,142,128,9.1
2026-01-01,Coastal,In-person,108,88,27.2
2026-01-01,Lake,Digital,111,98,10.3
2026-01-01,Lake,In-person,87,70,29.4
2026-01-01,Northern,Digital,103,91,9.8
2026-01-01,Northern,In-person,79,64,28.1
2026-02-01,Central,Digital,134,121,8.0
2026-02-01,Central,In-person,98,82,23.9
2026-02-01,Coastal,Digital,148,134,8.7
2026-02-01,Coastal,In-person,112,92,26.4
2026-02-01,Lake,Digital,116,103,9.9
2026-02-01,Lake,In-person,90,74,28.7
2026-02-01,Northern,Digital,107,95,9.4
2026-02-01,Northern,In-person,82,67,27.5
2026-03-01,Central,Digital,139,126,7.7
2026-03-01,Central,In-person,101,85,23.1
2026-03-01,Coastal,Digital,153,139,8.3
2026-03-01,Coastal,In-person,116,96,25.8
2026-03-01,Lake,Digital,120,107,9.4
2026-03-01,Lake,In-person,93,77,27.9
2026-03-01,Northern,Digital,111,99,9.0
2026-03-01,Northern,In-person,85,70,26.8
2026-04-01,Central,Digital,145,132,7.3
2026-04-01,Central,In-person,105,89,22.4
2026-04-01,Coastal,Digital,159,145,7.9
2026-04-01,Coastal,In-person,120,100,24.9
2026-04-01,Lake,Digital,125,112,8.9
2026-04-01,Lake,In-person,96,80,27.1
2026-04-01,Northern,Digital,115,103,8.6
2026-04-01,Northern,In-person,88,73,26.0
2026-05-01,Central,Digital,151,138,7.0
2026-05-01,Central,In-person,109,93,21.8
2026-05-01,Coastal,Digital,165,151,7.5
2026-05-01,Coastal,In-person,124,104,24.2
2026-05-01,Lake,Digital,130,117,8.5
2026-05-01,Lake,In-person,100,84,26.4
2026-05-01,Northern,Digital,119,107,8.2
2026-05-01,Northern,In-person,91,76,25.3
2026-06-01,Central,Digital,157,144,6.7
2026-06-01,Central,In-person,113,97,21.2
2026-06-01,Coastal,Digital,171,157,7.2
2026-06-01,Coastal,In-person,128,108,23.5
2026-06-01,Lake,Digital,135,122,8.1
2026-06-01,Lake,In-person,103,87,25.8
2026-06-01,Northern,Digital,123,111,7.8
2026-06-01,Northern,In-person,94,79,24.7
