order_id,customer_id,order_date,status,order_total
1001,1,2026-01-05,completed,245.50
1002,2,2026-01-09,completed,680.00
1003,3,2026-01-12,pending,125.25
1004,4,2026-01-18,completed,310.75
1005,5,2026-01-24,cancelled,890.00
1006,6,2026-02-02,completed,95.50
1007,7,2026-02-08,completed,420.00
1008,8,2026-02-15,completed,735.25
1009,9,2026-02-22,pending,180.00
1010,10,2026-03-01,completed,510.50
1011,11,2026-03-05,completed,275.00
1012,12,2026-03-11,completed,160.25
1013,1,2026-03-16,cancelled,220.00
1014,2,2026-03-20,completed,845.75
1015,3,2026-03-28,completed,390.00
1016,4,2025-12-29,completed,155.00
1017,5,2026-04-01,completed,610.00
1018,6,2026-03-30,completed,205.00
