month,service,requests,completed,completion_rate
2026-01-01,Digital,484,432,89.25619834710744
2026-02-01,Digital,505,453,89.70297029702971
2026-03-01,Digital,523,471,90.05736137667304
2026-04-01,Digital,544,492,90.44117647058823
2026-05-01,Digital,565,513,90.79646017699115
2026-06-01,Digital,586,534,91.12627986348123
2026-01-01,In-person,368,300,81.52173913043478
2026-02-01,In-person,382,315,82.46073298429319
2026-03-01,In-person,395,328,83.0379746835443
2026-04-01,In-person,409,342,83.61858190709046
2026-05-01,In-person,424,357,84.19811320754717
2026-06-01,In-person,438,371,84.70319634703196
