month,requests,completed,on_time,on_time_rate
2025-01-01,209,191,120,0.6282722513089005
2025-02-01,183,171,74,0.4327485380116959
2025-03-01,227,208,95,0.4567307692307692
2025-04-01,200,187,81,0.43315508021390375
2025-05-01,206,188,90,0.4787234042553192
2025-06-01,190,176,84,0.4772727272727273
2025-07-01,201,188,102,0.5425531914893617
2025-08-01,204,189,101,0.5343915343915344
2025-09-01,204,191,130,0.680628272251309
2025-10-01,189,180,128,0.7111111111111111
2025-11-01,191,178,133,0.7471910112359551
2025-12-01,196,180,119,0.6611111111111111
