district,service_type,requests,completed,on_time,median_resolution_hours,mean_satisfaction,on_time_rate
Central,Lighting,154,143,89,62.500,3.804,0.622
Central,Roads,176,161,88,113.500,3.770,0.547
Central,Waste,182,175,123,36.600,4.000,0.703
Central,Water,85,78,42,33.300,3.859,0.538
East,Lighting,124,116,77,62.000,3.802,0.664
East,Roads,137,129,61,123.900,3.690,0.473
East,Waste,136,129,102,33.900,4.109,0.791
East,Water,95,89,38,39.100,3.551,0.427
North,Lighting,80,72,52,51.650,4.000,0.722
North,Roads,120,115,62,117.200,3.617,0.539
North,Waste,130,120,88,37.400,4.033,0.733
North,Water,73,70,42,33.900,3.800,0.600
South,Lighting,130,111,61,67.800,3.730,0.550
South,Roads,118,110,36,142.050,3.336,0.327
South,Waste,146,134,64,48.700,3.701,0.478
South,Water,94,84,32,39.950,3.476,0.381
West,Lighting,98,90,52,64.500,3.789,0.578
West,Roads,107,93,30,145.000,3.376,0.323
West,Waste,134,128,81,41.100,3.859,0.633
West,Water,81,80,37,40.650,3.562,0.463
